timestamp,gcc_mean,gcc_median,gcc_90th,rcc_median,bcc_median,exg_median,is_outlier
2026-06-08 15:33:33,0.5484,0.5278,0.6716,0.3801,0.0809,101.0,0
2026-06-08 15:35:09,0.5501,0.5304,0.6727,0.378,0.0797,100.0,0
2026-06-08 16:17:07,0.552,0.5353,0.675,0.3864,0.0634,102.0,0
2026-06-08 18:10:15,0.5166,0.4949,0.6239,0.3855,0.097,83.0,1
2026-06-08 19:46:50,,,,,,,0
2026-06-08 23:31:37,,,,,,,0
2026-06-09 03:50:06,,,,,,,0
2026-06-09 07:15:47,0.4767,0.4647,0.5563,0.4096,0.1241,105.0,0
2026-06-09 09:59:46,0.5334,0.4944,0.6833,0.368,0.1268,105.0,0
2026-06-09 12:39:46,0.5309,0.5061,0.6484,0.3721,0.1128,100.0,0
2026-06-09 15:14:27,0.5411,0.5227,0.65,0.3802,0.0888,100.0,0
2026-06-09 17:18:36,0.5574,0.5425,0.6667,0.4023,0.0132,109.0,0
2026-06-09 18:58:24,0.4473,0.4321,0.5251,0.343,0.2237,52.0,0
2026-06-09 20:21:16,,,,,,,0
2026-06-10 00:57:45,,,,,,,0
2026-06-10 04:55:12,,,,,,,0
2026-06-10 08:22:06,0.5239,0.5,0.6471,0.3767,0.1138,105.0,0
2026-06-10 12:21:55,0.5503,0.5274,0.6778,0.3706,0.0899,102.0,0
2026-06-10 15:11:02,0.5664,0.5473,0.6869,0.3649,0.0747,97.0,0
2026-06-10 17:35:40,0.5434,0.5251,0.6557,0.367,0.1007,97.0,0
2026-06-10 19:25:45,0.483,0.463,0.5795,0.3418,0.1921,64.0,1
2026-06-10 22:01:21,,,,,,,0
2026-06-11 03:14:49,,,,,,,0
2026-06-11 07:55:29,0.4925,0.4721,0.5949,0.38,0.1461,105.0,1
2026-06-11 12:01:48,0.5597,0.5381,0.6951,0.3675,0.0792,110.0,0
2026-06-11 15:18:56,0.5596,0.5411,0.6786,0.3736,0.0743,100.0,0
2026-06-11 17:35:09,0.6108,0.5793,0.8182,0.3333,0.0779,100.0,1
2026-06-11 19:22:35,0.5507,0.5118,0.7255,0.3226,0.1653,78.0,0
2026-06-12 02:47:14,,,,,,,0
2026-06-12 07:01:45,0.6031,0.5668,0.8,0.3311,0.0943,120.0,0
2026-06-12 10:20:20,0.5903,0.5508,0.7949,0.3434,0.0946,127.0,0
2026-06-12 13:22:38,0.6152,0.6048,0.791,0.3487,0.022,125.0,0
2026-06-12 15:30:06,0.5704,0.5481,0.7121,0.3652,0.0729,117.0,1
2026-06-12 17:17:41,0.5841,0.5503,0.7805,0.3627,0.0687,96.0,0
2026-06-12 18:57:22,0.5831,0.5333,0.8246,0.2973,0.1705,91.0,1
2026-06-12 20:22:32,,,,,,,0
2026-06-13 01:02:42,,,,,,,0
2026-06-13 04:37:05,,,,,,,0
2026-06-13 07:14:38,0.4734,0.4556,0.5616,0.3959,0.1491,121.0,0
2026-06-13 09:05:33,0.4855,0.4503,0.6186,0.3573,0.1904,109.0,0
2026-06-13 11:17:19,0.5391,0.495,0.7042,0.3514,0.1473,114.0,0
2026-06-13 12:56:09,0.5333,0.4958,0.675,0.3559,0.1418,111.0,0
2026-06-13 14:08:54,0.5417,0.5039,0.6901,0.3557,0.1328,109.0,0
2026-06-13 16:01:39,0.5645,0.5288,0.7385,0.3608,0.1032,106.0,0
2026-06-13 17:45:59,0.5356,0.5015,0.6721,0.3646,0.1153,84.0,0
2026-06-13 19:04:52,0.4186,0.4067,0.4786,0.3161,0.28,38.0,0
2026-06-13 21:43:49,,,,,,,0
2026-06-14 02:41:40,,,,,,,0
2026-06-14 06:25:12,0.5004,0.4837,0.6,0.4014,0.1104,125.0,0
2026-06-14 08:23:24,0.4781,0.4545,0.5874,0.3725,0.1735,108.0,0
2026-06-14 10:41:14,0.5429,0.4982,0.7108,0.3548,0.1392,115.0,0
2026-06-14 12:22:00,0.5605,0.5306,0.7027,0.3538,0.1076,116.0,0
2026-06-14 13:57:26,0.6202,0.6009,0.8154,0.3419,0.0369,124.0,0
2026-06-14 15:44:13,0.6048,0.5723,0.8,0.3357,0.0833,110.0,0
2026-06-14 17:13:26,0.5812,0.5497,0.7544,0.3433,0.098,104.0,0
